ich habe heute: 2
ich habe ihn: 2
ich habe kein: 2
ich habe mich: 2
ich habe nicht: 2
ich habe viel: 2
ich halte es: 2
ich hier jetzt: 2
ich ihn nicht: 2
ich in der: 2
ich in diesem: 2
ich in meiner: 2
ich kann aber: 2
ich kann auch: 2
ich kann ihn: 2
ich kann mich: 2
ich kann nur: 2
ich lebe in: 2
ich lebe nur: 2
ich mein leben: 2
ich mich auf: 2
ich mich heute: 2
ich mich in: 2
ich mich jetzt: 2
ich mich mit: 2
ich mich nur: 2
ich mich so: 2
ich mich wieder: 2
ich mir im: 2
ich mir nicht: 2
ich mit der: 2
ich muß jetzt: 2
ich muß mir: 2
ich möchte mich: 2
ich nicht die: 2
ich nicht ganz: 2
ich nicht nur: 2
ich nicht versuchen: 2
ich nicht zu: 2
ich nichts als: 2
ich nichts rechtes: 2
ich noch nicht: 2
ich s nicht: 2
ich sagte mir: 2
ich sicher ruhen: 2
ich tun soll: 2
ich vielleicht mit: 2
ich von dem: 2
ich von der: 2
ich war ein: 2
ich weiß ich: 2
ich werde von: 2
ich z b: 2
ich über die: 2
ie ati sie: 2
ihn nicht zu: 2
ihr benehmen gegen: 2
ihr daß ich: 2
im unklaren darüber: 2
immer wieder in: 2
in cambridge angekommen: 2
in das leben: 2
in dem ich: 2
in den beinen: 2
in der bibel: 2
in der fabrik: 2
in der gefahr: 2
in der kammer: 2
in der kanzlei: 2
in der offiziersmesse: 2
in der ordnung: 2
in die feuerstellung: 2
in die stadt: 2
in diesem zustand: 2
in diesen letzten: 2
in dieser richtung: 2
in dieser zeit: 2
in ein paar: 2
in einem monat: 2
in einen abgrund: 2
in einer krise: 2
in einer stunde: 2
in einer weise: 2
in ewigkeit amen: 2
in gottes hand: 2
in krakau angekommen: 2
in mein haus: 2
in meinem kopf: 2
in meinem leben: 2
in mir auf: 2
in mir ruhe: 2
in sandomierz sehr: 2
irgendein anderes dokument: 2
ist als hätte: 2
ist als ich: 2
ist als könnte: 2
ist auch ein: 2
ist auch nicht: 2
ist das ist: 2
ist das leben: 2
ist daß die: 2
ist der mensch: 2
ist der tod: 2
ist die liebe: 2
ist ein schönes: 2
ist ein sehr: 2
ist eine art: 2
ist er nicht: 2
ist es auch: 2
ist es nicht: 2
ist ich weiß: 2
ist in gewissem: 2
ist mir aber: 2
ist mir jetzt: 2
ist mir nicht: 2
ist mir noch: 2
ist möglich daß: 2
ist noch nicht: 2
ist ohnmächtig im: 2
ist schlecht aber: 2
ist schwer mit: 2
ist schwer zu: 2
ist sehr schwer: 2
ist sehr seltsam: 2
ist und doch: 2
ist unendlich schwer: 2
ist weil ich: 2
jetzt nicht arbeiten: 2
jetzt noch nicht: 2
kampf des guten: 2
kampf gegen die: 2
kann ich s: 2
kann man nicht: 2
kann mir nur: 2
kann nicht sehen: 2
kann noch immer: 2
kanonade viel gearb: 2
karte von frege: 2
karte von mama: 2
kein band an: 2
klarheit des sehens: 2
klein wenig gearbeitet: 2
kommandant ist sehr: 2
kommt daher daß: 2
kommt darauf an: 2
können ich fühle: 2
könnte ehe die: 2
könnte ich nicht: 2
könnte man sagen: 2
lassen es ist: 2
lebe in der: 2
lebe so daß: 2
leben es ist: 2
leben zu ertragen: 2
leben zu können: 2
leicht zu machen: 2
lernt was es: 2
letzten tagen oft: 2
läßt läßt sich: 2
läßt sich nicht: 2
lösung des problems: 2
m kanzlei nicht: 2
machen aber ich: 2
macht den verkehr: 2
man kann sich: 2
man könnte sagen: 2
man lernt was: 2
man nicht mehr: 2
manchmal als wäre: 2
mehr als je: 2
mein kopf ist: 2
mein körper ist: 2
mein leben ist: 2
mein leben mir: 2
meine arbeit nicht: 2
meine gedanken nicht: 2
meine nerven sind: 2
meiner seele ist: 2
mensch ist ohnmächtig: 2
mich in einer: 2
mich mit dem: 2
mich nicht in: 2
mich nicht verlassen: 2
mich noch immer: 2
mich sehr müde: 2
mich vor jeder: 2
mich ziemlich elend: 2
mich zu erholen: 2
mir als wäre: 2
mir bei amen: 2
mir das arbeiten: 2
mir es ist: 2
mir gegeben ist: 2
mir gegeben werden: 2
mir geschehen wird: 2
mir ich bin: 2
mir ich habe: 2
mir mein leben: 2
mir nicht unangenehm: 2
mir nicht vorstellen: 2
mir noch ganz: 2
mir noch immer: 2
mir wie eine: 2
mit a r: 2
mit anna rebni: 2
mit ausnahme von: 2
mit dem glauben: 2
mit dem leutnant: 2
mit dem scheinwerfer: 2
mit dem stock: 2
mit einem feuerwerker: 2
mit gürth in: 2
mit gürth über: 2
mit meinem arbeiten: 2
mit meinem ganzen: 2
mit meinem kommandanten: 2
mit mir amen: 2
mit mir die: 2
mit mir es: 2
mit mir sind: 2
mit ts geschrieben: 2
morgen oder übermorgen: 2
morgen werde ich: 2
muß so ist: 2
mußt du dich: 2
möge es gut: 2
möge es mir: 2
möge ich nicht: 2
möglich daß ich: 2
müde da ich: 2
müde daß ich: 2
müde es einzutragen: 2
müde obwohl ich: 2
nach dem erwachen: 2
nach krakau fahren: 2
nach sandomierz gefahren: 2
nach wien fahren: 2
nachmitt in der: 2
nacht habe ich: 2
nacht über stehen: 2
netten brief von: 2
nicht abergläubisch sein: 2
nicht arbeiten kann: 2
nicht bös daß: 2
nicht daß sie: 2
nicht denken kann: 2
nicht die kraft: 2
nicht ganz in: 2
nicht ganz ohne: 2
nicht ganz wohl: 2
nicht gearbeitet der: 2
nicht gearbeitet es: 2
nicht gearbeitet gestern: 2
nicht gearbeitet habe: 2
nicht gearbeitet keine: 2
nicht gearbeitet werde: 2
nicht ich fühle: 2
nicht in meinem: 2
nicht klar genug: 2
nicht klein werden: 2
nicht mehr an: 2
nicht mehr arbeiten: 2
nicht mehr auf: 2
nicht mehr glücklich: 2
nicht nach sawichost: 2
nicht ob ich: 2
nicht sagen daß: 2
nicht sehen wie: 2
nicht sehr viel: 2
nicht so sehr: 2
nicht stark genug: 2
nicht von dem: 2
nicht von der: 2
nicht von francis: 2
nicht was ich: 2
nicht wie menschen: 2
nicht zu verlieren: 2
nicht zu widersetzen: 2
nichts gearbeitet aber: 2
niemand hier aber: 2
niemand weiß was: 2
noch ganz im: 2
noch immer der: 2
noch immer ich: 2
noch immer im: 2
noch immer keine: 2
noch nicht bestimmt: 2
noch nicht zum: 2
noch schlechter als: 2
nun bin ich: 2
nur die liebe: 2
nur für kurze: 2
nur nicht von: 2
nur schon wieder: 2
nur sich selbst: 2
nur um mich: 2
ob es eine: 2
ob es wieder: 2
ob ich noch: 2
ob ich sie: 2
obwohl ich ihn: 2
obwohl ich nicht: 2
oder daß ich: 2
oder ist es: 2
oft bin ich: 2
ohne erfolg abends: 2
ohne erfolg gearbeitet: 2
ohne rechten erfolg: 2
ohnmächtig im fleische: 2
p m kanzlei: 2
passivität habe ich: 2
ruhe zum arbeiten: 2
ruhige nacht früh: 2
russen sind uns: 2
sage ich mir: 2
sagen daß ich: 2
sagte ihr daß: 2
sandomierz sehr viel: 2
scheint es mir: 2
schon wieder arbeiten: 2
schwacher mensch aber: 2
schwer es ist: 2
schwer hier gerecht: 2
schwer ich bin: 2
sehen wie ich: 2
sehr liebe karte: 2
sehr müde obwohl: 2
sehr netter mensch: 2
sehr seltsam ich: 2
sehr wenig geschlafen: 2
sei dank nicht: 2
sei es ist: 2
sei nicht bös: 2
sein auch das: 2
sein ich war: 2
sein ich will: 2
sein möge ich: 2
seltsam daß ich: 2
seltsam ich weiß: 2
sich in das: 2
sich nicht sagen: 2
sich nicht schreiben: 2
sich nicht zu: 2
sich seine arbeit: 2
sich selbst zu: 2
sie an die: 2
sie ie ati: 2
sie mich nicht: 2
sie nicht zu: 2
sind es ist: 2
sind uns auf: 2
so daß du: 2
so daß sie: 2
so ist er: 2
so ist mir: 2
so ist sie: 2
so müde daß: 2
so schnell ich: 2
so wenig licht: 2
so wird es: 2
so wirst du: 2
so wäre die: 2
soll d h: 2
soll daß ich: 2
soll es ist: 2
soll ich nicht: 2
soll jetzt die: 2
soll wenn es: 2
sprach heute mit: 2
stadt ziemlich viel: 2
stehe ich auf: 2
stehe ich nicht: 2
sterben ich kann: 2
stimmung den ganzen: 2
stimmung nicht gearbeitet: 2
süß du mußt: 2
t cheat yourself: 2
trachten mein leben: 2
traum mir träumte: 2
u s w: 2
um mich herum: 2
und dies ist: 2
und doch bin: 2
und durch die: 2
und habe ein: 2
und ich bin: 2
